dataset,best_estimator,predicted_estimator,acc
HouseTwenty,HC2,RSTSF,0.9512605042016808
InlineSkate,RSTSF,InceptionT,0.5344242424242424
InsectEPGRegularTrain,Hydra-MR,RDST,1.0
InsectEPGSmallTrain,PF,RDST,0.9651941097724231
InsectWingbeatSound,Hydra-MR,WEASEL-D,0.6531481481481481
ItalyPowerDemand,RSTSF,FreshPRINCE,0.9607709750566894
KeplerLightCurves,FreshPRINCE,RDST,0.928404344193818
LargeKitchenAppliances,InceptionT,FreshPRINCE,0.8929777777777778
Lightning2,PF,WEASEL-D,0.7081967213114756
Lightning7,InceptionT,WEASEL-D,0.7598173515981734
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,WEASEL-D,0.982777777777778
MedicalImages,RSTSF,FreshPRINCE,0.8053070175438595
MelbournePedestrianNmv,RSTSF,Hydra-MR,0.9631450337789276
MiddlePhalanxOutlineAgeGroup,WEASEL-D,WEASEL-D,0.7173160173160174
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,FreshPRINCE,0.8717784877529287
NonInvasiveFetalECGThorax1,Hydra-MR,WEASEL-D,0.9321289228159456
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,RDST,0.9707988980716254
OliveOil,WEASEL-D,HC2,0.8955555555555557
PLAIDEq,Hydra-MR,InceptionT,0.4949720670391062
PhalangesOutlinesCorrect,InceptionT,FreshPRINCE,0.8477078477078476
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,WEASEL-D,0.3382735583684951
PickupGestureWiimoteZEq,Hydra-MR,WEASEL-D,0.8206666666666668
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,HC2,0.9793269230769232
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,WEASEL-D,1.0
PowerCons,RSTSF,WEASEL-D,0.9262962962962964
ProximalPhalanxOutlineAgeGroup,WEASEL-D,WEASEL-D,0.8593495934959352
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,FreshPRINCE,0.7474666666666664
Rock,HC2,InceptionT,0.628
ScreenType,HC2,RDST,0.6462222222222221
SemgHandGenderCh2,HC2,InceptionT,0.8846666666666667
SemgHandMovementCh2,HC2,InceptionT,0.5515555555555556
SemgHandSubjectCh2,HC2,InceptionT,0.7628888888888891
ShakeGestureWiimoteZEq,HC2,FreshPRINCE,0.904666666666667
ShapeletSim,Hydra-MR,FreshPRINCE,0.9998148148148148
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,FreshPRINCE,0.6943754313319531
SmallKitchenAppliances,HC2,InceptionT,0.7707555555555557
SmoothSubspace,PF,FreshPRINCE,0.9715555555555556
SonyAIBORobotSurface1,InceptionT,FreshPRINCE,0.941819190238491
SonyAIBORobotSurface2,WEASEL-D,FreshPRINCE,0.9333683105981112
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,WEASEL-D,0.9781981981981982
SwedishLeaf,Hydra-MR,WEASEL-D,0.9667733333333336
Symbols,HC2,RDST,0.9656616415410384
SyntheticControl,PF,FreshPRINCE,0.9958888888888888
ToeSegmentation1,HC2,WEASEL-D,0.9536549707602332
ToeSegmentation2,InceptionT,WEASEL-D,0.9530769230769228
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,RDST,1.0
TwoLeadECG,HC2,WEASEL-D,0.9974246414983904
TwoPatterns,Hydra-MR,FreshPRINCE,0.9970666666666664
UMD,HC2,WEASEL-D,0.971064814814815
UWaveGestureLibraryAll,Hydra-MR,InceptionT,0.9511911408896332
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,InceptionT,0.7732179415596501
Wafer,HC2,FreshPRINCE,0.9999837767683322
Wine,WEASEL-D,WEASEL-D,0.9574074074074072
WordSynonyms,Hydra-MR,WEASEL-D,0.7507836990595613
Worms,InceptionT,RDST,0.7225108225108223
WormsTwoClass,HC2,RDST,0.7783549783549784
Yoga,Hydra-MR,Hydra-MR,0.9356
