dataset,best_estimator,predicted_estimator,acc
GunPointMaleVersusFemale,Hydra-MR,HC2,0.9998945147679325
GunPointOldVersusYoung,Hydra-MR,HC2,0.99989417989418
Ham,WEASEL-D,Hydra-MR,0.8507936507936511
HandOutlines,Hydra-MR,HC2,0.9328828828828828
Haptics,RDST,InceptionT,0.537012987012987
Herring,RDST,WEASEL-D,0.603125
HouseTwenty,HC2,Hydra-MR,0.981232492997199
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,HC2,1.0
InsectEPGSmallTrain,PF,HC2,0.999330655957162
InsectWingbeatSound,Hydra-MR,InceptionT,0.6273569023569024
ItalyPowerDemand,RSTSF,WEASEL-D,0.9532879818594104
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,Hydra-MR,0.7557377049180328
Lightning7,InceptionT,HC2,0.7917808219178083
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,Hydra-MR,0.9844444444444446
MedicalImages,RSTSF,FreshPRINCE,0.8053070175438595
MelbournePedestrianNmv,RSTSF,Hydra-MR,0.9631450337789276
MiddlePhalanxOutlineAgeGroup,WEASEL-D,HC2,0.6781385281385283
MiddlePhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8504009163802981
MiddlePhalanxTW,RSTSF,FreshPRINCE,0.57987012987013
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,InceptionT,0.913333333333333
MoteStrain,WEASEL-D,FreshPRINCE,0.8717784877529287
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,HC2,0.9673553719008262
OliveOil,WEASEL-D,RDST,0.9
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,FreshPRINCE,0.8477078477078476
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,Hydra-MR,0.3646097046413502
PickupGestureWiimoteZEq,Hydra-MR,InceptionT,0.7646666666666668
PigAirwayPressure,HC2,Hydra-MR,0.7275641025641026
PigArtPressure,HC2,HC2,0.9793269230769232
PigCVP,WEASEL-D,Hydra-MR,0.8533653846153846
Plane,Hydra-MR,HC2,1.0
PowerCons,RSTSF,HC2,0.9716666666666666
ProximalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8551219512195125
ProximalPhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.9101947308132876
ProximalPhalanxTW,FreshPRINCE,HC2,0.8115447154471546
RefrigerationDevices,HC2,HC2,0.8270222222222222
Rock,HC2,HC2,0.8946666666666668
ScreenType,HC2,HC2,0.7427555555555555
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,WEASEL-D,0.9996296296296296
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,Hydra-MR,0.6647688060731537
SmallKitchenAppliances,HC2,HC2,0.8487111111111112
SmoothSubspace,PF,HC2,0.9813333333333336
SonyAIBORobotSurface1,InceptionT,Hydra-MR,0.9437049362174152
SonyAIBORobotSurface2,WEASEL-D,Hydra-MR,0.9446659671213712
StarLightCurves,HC2,InceptionT,0.9781285413631212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,InceptionT,0.96976
Symbols,HC2,HC2,0.9726298157453938
SyntheticControl,PF,HC2,0.998111111111111
ToeSegmentation1,HC2,WEASEL-D,0.9536549707602332
ToeSegmentation2,InceptionT,FreshPRINCE,0.8984615384615385
Tools,HC2,InceptionT,0.8442786069651741
Trace,Hydra-MR,RDST,1.0
TwoLeadECG,HC2,WEASEL-D,0.9974246414983904
TwoPatterns,Hydra-MR,Hydra-MR,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,InceptionT,0.9986264330521304
Wine,WEASEL-D,HC2,0.9283950617283953
WordSynonyms,Hydra-MR,InceptionT,0.7520898641588296
Worms,InceptionT,RDST,0.7225108225108223
WormsTwoClass,HC2,Hydra-MR,0.7891774891774893
Yoga,Hydra-MR,InceptionT,0.9124111111111114
