dataset,best_estimator,predicted_estimator,acc
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,HC2,0.8612698412698416
HandOutlines,Hydra-MR,HC2,0.9328828828828828
Haptics,RDST,RSTSF,0.5058441558441559
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,HC2,0.9876750700280112
InlineSkate,RSTSF,InceptionT,0.5344242424242424
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,WEASEL-D,0.9532879818594104
KeplerLightCurves,FreshPRINCE,InceptionT,0.7484544695071011
LargeKitchenAppliances,InceptionT,Hydra-MR,0.9411555555555556
Lightning2,PF,HC2,0.7743169398907105
Lightning7,InceptionT,PF,0.7922374429223744
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,RSTSF,0.9844444444444445
MedicalImages,RSTSF,InceptionT,0.796359649122807
MelbournePedestrianNmv,RSTSF,RSTSF,0.9696852091418716
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,HC2,0.9286208732694357
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,HC2,0.8955555555555557
PLAIDEq,Hydra-MR,InceptionT,0.4949720670391062
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,InceptionT,0.3344409282700422
PickupGestureWiimoteZEq,Hydra-MR,HC2,0.7673333333333336
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,HC2,0.9793269230769232
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,Hydra-MR,0.9798148148148146
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,HC2,0.8270222222222222
Rock,HC2,WEASEL-D,0.8766666666666665
ScreenType,HC2,Hydra-MR,0.6810666666666667
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,RSTSF,0.9861111111111106
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,InceptionT,0.6521394064872327
SmallKitchenAppliances,HC2,Hydra-MR,0.8327111111111108
SmoothSubspace,PF,RSTSF,0.983111111111111
SonyAIBORobotSurface1,InceptionT,Hydra-MR,0.9437049362174152
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,HC2,0.9726298157453938
SyntheticControl,PF,InceptionT,0.9957777777777774
ToeSegmentation1,HC2,HC2,0.9545321637426896
ToeSegmentation2,InceptionT,HC2,0.9594871794871792
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,InceptionT,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,InceptionT,0.9511911408896332
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,InceptionT,0.9986264330521304
Wine,WEASEL-D,PF,0.8561728395061731
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
