dataset,best_estimator,predicted_estimator,acc
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,Hydra-MR,0.9798148148148146
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,HC2,0.8270222222222222
Rock,HC2,HC2,0.8946666666666668
ScreenType,HC2,Hydra-MR,0.6810666666666667
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,HC2,1.0
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,InceptionT,0.6521394064872327
SmallKitchenAppliances,HC2,InceptionT,0.7707555555555557
SmoothSubspace,PF,RSTSF,0.983111111111111
SonyAIBORobotSurface1,InceptionT,WEASEL-D,0.9536882972823072
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,Hydra-MR,0.992222222222222
ToeSegmentation1,HC2,InceptionT,0.953070175438596
ToeSegmentation2,InceptionT,HC2,0.9594871794871792
Tools,HC2,FreshPRINCE,0.8699004975124379
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,HC2,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,HC2,0.9756467522799182
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,Hydra-MR,0.9997133895738698
Wine,WEASEL-D,HC2,0.9283950617283953
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
