dataset,best_estimator,predicted_estimator,acc
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,Hydra-MR,0.8507936507936511
HandOutlines,Hydra-MR,Hydra-MR,0.9524324324324328
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,HC2,0.9876750700280112
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,Hydra-MR,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,Hydra-MR,0.9648850016196956
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,HC2,0.7743169398907105
Lightning7,InceptionT,HC2,0.7917808219178083
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,Hydra-MR,0.9844444444444446
MedicalImages,RSTSF,Hydra-MR,0.8097807017543861
MelbournePedestrianNmv,RSTSF,HC2,0.9380336351875812
MiddlePhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.6569264069264069
MiddlePhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8504009163802981
MiddlePhalanxTW,RSTSF,Hydra-MR,0.5471861471861471
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,Hydra-MR,0.9039669861554844
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,Hydra-MR,0.8977777777777777
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,HC2,0.4044303797468355
PickupGestureWiimoteZEq,Hydra-MR,HC2,0.7673333333333336
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,Hydra-MR,0.926923076923077
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,HC2,0.9716666666666666
ProximalPhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.8448780487804881
ProximalPhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.9101947308132876
ProximalPhalanxTW,FreshPRINCE,Hydra-MR,0.8011382113821139
RefrigerationDevices,HC2,HC2,0.8270222222222222
Rock,HC2,Hydra-MR,0.874
ScreenType,HC2,HC2,0.7427555555555555
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,HC2,1.0
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,HC2,0.6869565217391304
SmallKitchenAppliances,HC2,HC2,0.8487111111111112
SmoothSubspace,PF,HC2,0.9813333333333336
SonyAIBORobotSurface1,InceptionT,Hydra-MR,0.9437049362174152
SonyAIBORobotSurface2,WEASEL-D,Hydra-MR,0.9446659671213712
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,Hydra-MR,0.992222222222222
ToeSegmentation1,HC2,Hydra-MR,0.9314327485380116
ToeSegmentation2,InceptionT,Hydra-MR,0.9399999999999998
Tools,HC2,HC2,0.8858208955223881
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,Hydra-MR,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,HC2,0.7891587567466964
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,Hydra-MR,0.9997133895738698
Wine,WEASEL-D,Hydra-MR,0.9364197530864196
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,Hydra-MR,0.7385281385281385
WormsTwoClass,HC2,Hydra-MR,0.7891774891774893
Yoga,Hydra-MR,Hydra-MR,0.9356
