dataset,best_estimator,predicted_estimator,acc
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,RSTSF,0.8212698412698417
HandOutlines,Hydra-MR,Hydra-MR,0.9524324324324328
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,Hydra-MR,0.981232492997199
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,Hydra-MR,0.9648850016196956
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,InceptionT,0.8169398907103825
Lightning7,InceptionT,InceptionT,0.8205479452054795
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,WEASEL-D,0.982777777777778
MedicalImages,RSTSF,FreshPRINCE,0.8053070175438595
MelbournePedestrianNmv,RSTSF,Hydra-MR,0.9631450337789276
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,HC2,0.9286208732694357
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,HC2,0.8955555555555557
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,HC2,0.4044303797468355
PickupGestureWiimoteZEq,Hydra-MR,InceptionT,0.7646666666666668
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,HC2,0.9793269230769232
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,HC2,0.9716666666666666
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,HC2,0.8270222222222222
Rock,HC2,HC2,0.8946666666666668
ScreenType,HC2,HC2,0.7427555555555555
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,RDST,0.9970370370370368
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,HC2,0.6869565217391304
SmallKitchenAppliances,HC2,InceptionT,0.7707555555555557
SmoothSubspace,PF,Hydra-MR,0.9844444444444442
SonyAIBORobotSurface1,InceptionT,WEASEL-D,0.9536882972823072
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,Hydra-MR,0.992222222222222
ToeSegmentation1,HC2,InceptionT,0.953070175438596
ToeSegmentation2,InceptionT,HC2,0.9594871794871792
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,Hydra-MR,1.0
TwoLeadECG,HC2,WEASEL-D,0.9974246414983904
TwoPatterns,Hydra-MR,Hydra-MR,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,HC2,0.9756467522799182
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,HC2,1.0
Wine,WEASEL-D,Hydra-MR,0.9364197530864196
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
