dataset,best_estimator,predicted_estimator,acc
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,WEASEL-D,0.8615873015873018
HandOutlines,Hydra-MR,HC2,0.9328828828828828
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,HC2,0.9876750700280112
InlineSkate,RSTSF,InceptionT,0.5344242424242424
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,RSTSF,0.966925817946226
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,InceptionT,0.8169398907103825
Lightning7,InceptionT,HC2,0.7917808219178083
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,RSTSF,0.9844444444444445
MedicalImages,RSTSF,InceptionT,0.796359649122807
MelbournePedestrianNmv,RSTSF,RSTSF,0.9696852091418716
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,WEASEL-D,0.9445686900958468
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,HC2,0.8955555555555557
PLAIDEq,Hydra-MR,InceptionT,0.4949720670391062
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,InceptionT,0.6521978021978021
Phoneme,HC2,RDST,0.3410864978902954
PickupGestureWiimoteZEq,Hydra-MR,Hydra-MR,0.8466666666666666
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,RDST,0.932371794871795
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,WEASEL-D,1.0
PowerCons,RSTSF,Hydra-MR,0.9798148148148146
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,RSTSF,0.7284444444444447
Rock,HC2,PF,0.7746666666666668
ScreenType,HC2,HC2,0.7427555555555555
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,PF,0.7892592592592592
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,HC2,0.6869565217391304
SmallKitchenAppliances,HC2,Hydra-MR,0.8327111111111108
SmoothSubspace,PF,RSTSF,0.983111111111111
SonyAIBORobotSurface1,InceptionT,FreshPRINCE,0.941819190238491
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,WEASEL-D,0.9836666666666666
ToeSegmentation1,HC2,Hydra-MR,0.9314327485380116
ToeSegmentation2,InceptionT,Hydra-MR,0.9399999999999998
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,FreshPRINCE,0.9970666666666664
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,InceptionT,0.7732179415596501
Wafer,HC2,HC2,1.0
Wine,WEASEL-D,WEASEL-D,0.9574074074074072
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
