dataset,best_estimator,predicted_estimator,acc
PigAirwayPressure,HC2,Hydra-MR,0.7275641025641026
PigArtPressure,HC2,Hydra-MR,0.926923076923077
PigCVP,WEASEL-D,Hydra-MR,0.8533653846153846
Plane,Hydra-MR,HC2,1.0
PowerCons,RSTSF,Hydra-MR,0.9798148148148146
ProximalPhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.8448780487804881
ProximalPhalanxOutlineCorrect,Hydra-MR,HC2,0.8920962199312717
ProximalPhalanxTW,FreshPRINCE,Hydra-MR,0.8011382113821139
RefrigerationDevices,HC2,Hydra-MR,0.7485333333333334
Rock,HC2,HC2,0.8946666666666668
ScreenType,HC2,Hydra-MR,0.6810666666666667
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,Hydra-MR,0.9286666666666672
ShapeletSim,Hydra-MR,HC2,1.0
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,Hydra-MR,0.6647688060731537
SmallKitchenAppliances,HC2,Hydra-MR,0.8327111111111108
SmoothSubspace,PF,Hydra-MR,0.9844444444444442
SonyAIBORobotSurface1,InceptionT,Hydra-MR,0.9437049362174152
SonyAIBORobotSurface2,WEASEL-D,Hydra-MR,0.9446659671213712
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,HC2,0.9794594594594596
SwedishLeaf,Hydra-MR,Hydra-MR,0.9724799999999996
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,Hydra-MR,0.992222222222222
ToeSegmentation1,HC2,Hydra-MR,0.9314327485380116
ToeSegmentation2,InceptionT,Hydra-MR,0.9399999999999998
Tools,HC2,HC2,0.8858208955223881
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,HC2,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,HC2,0.9756467522799182
UWaveGestureLibraryX,Hydra-MR,HC2,0.861753210496929
UWaveGestureLibraryY,Hydra-MR,HC2,0.7891587567466964
UWaveGestureLibraryZ,Hydra-MR,HC2,0.8008002977852224
Wafer,HC2,Hydra-MR,0.9997133895738698
Wine,WEASEL-D,Hydra-MR,0.9364197530864196
WordSynonyms,Hydra-MR,Hydra-MR,0.7868861024033438
Worms,InceptionT,Hydra-MR,0.7385281385281385
WormsTwoClass,HC2,Hydra-MR,0.7891774891774893
Yoga,Hydra-MR,HC2,0.9303666666666668
