dataset,best_estimator,predicted_estimator,acc
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,RDST,0.9841904761904762
FloodModeling1Discrete,FreshPRINCE,Hydra-MR,0.9616418966737438
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,FreshPRINCE,0.9743589743589745
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,InceptionT,0.3851282051282051
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,HC2,0.999111111111111
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,WEASEL-D,0.8615873015873018
HandOutlines,Hydra-MR,Hydra-MR,0.9524324324324328
Haptics,RDST,Hydra-MR,0.5359307359307358
Herring,RDST,HC2,0.6322916666666667
HouseTwenty,HC2,Hydra-MR,0.981232492997199
InlineSkate,RSTSF,Hydra-MR,0.5078787878787877
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,InceptionT,0.6273569023569024
ItalyPowerDemand,RSTSF,InceptionT,0.960349854227405
KeplerLightCurves,FreshPRINCE,Hydra-MR,0.924561403508772
LargeKitchenAppliances,InceptionT,Hydra-MR,0.9411555555555556
Lightning2,PF,InceptionT,0.8169398907103825
Lightning7,InceptionT,PF,0.7922374429223744
Mallat,HC2,RDST,0.9551528073916132
Meat,HC2,WEASEL-D,0.982777777777778
MedicalImages,RSTSF,Hydra-MR,0.8097807017543861
MelbournePedestrianNmv,RSTSF,RSTSF,0.9696852091418716
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,InceptionT,0.8342497136311573
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,Hydra-MR,0.9039669861554844
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,WEASEL-D,0.9311111111111112
PLAIDEq,Hydra-MR,InceptionT,0.4949720670391062
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,InceptionT,0.3344409282700422
PickupGestureWiimoteZEq,Hydra-MR,HC2,0.7673333333333336
PigAirwayPressure,HC2,WEASEL-D,0.8628205128205129
PigArtPressure,HC2,WEASEL-D,0.9576923076923076
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,HC2,0.9716666666666666
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,Hydra-MR,0.7485333333333334
Rock,HC2,Hydra-MR,0.874
ScreenType,HC2,Hydra-MR,0.6810666666666667
SemgHandGenderCh2,HC2,HC2,0.9728888888888888
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,Hydra-MR,0.9286666666666672
ShapeletSim,Hydra-MR,InceptionT,0.9235185185185184
ShapesAll,Hydra-MR,RSTSF,0.8827222222222222
SharePriceIncrease,FreshPRINCE,PF,0.6912698412698413
SmallKitchenAppliances,HC2,InceptionT,0.7707555555555557
SmoothSubspace,PF,HC2,0.9813333333333336
SonyAIBORobotSurface1,InceptionT,WEASEL-D,0.9536882972823072
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,Hydra-MR,0.9797297297297296
SwedishLeaf,Hydra-MR,HC2,0.9626133333333337
Symbols,HC2,HC2,0.9726298157453938
SyntheticControl,PF,FreshPRINCE,0.9958888888888888
ToeSegmentation1,HC2,InceptionT,0.953070175438596
ToeSegmentation2,InceptionT,HC2,0.9594871794871792
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,HC2,1.0
UMD,HC2,Hydra-MR,0.9851851851851856
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,Hydra-MR,0.8144611948632048
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,HC2,1.0
Wine,WEASEL-D,Hydra-MR,0.9364197530864196
WordSynonyms,Hydra-MR,InceptionT,0.7520898641588296
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
