dataset,best_estimator,predicted_estimator,acc
GunPointMaleVersusFemale,Hydra-MR,RDST,0.9997890295358648
GunPointOldVersusYoung,Hydra-MR,RDST,1.0
Ham,WEASEL-D,RDST,0.8482539682539686
HandOutlines,Hydra-MR,RDST,0.9473873873873871
Haptics,RDST,RDST,0.5706709956709957
Herring,RDST,RDST,0.6380208333333334
HouseTwenty,HC2,RDST,0.9742296918767508
InlineSkate,RSTSF,RDST,0.4588484848484848
InsectEPGRegularTrain,Hydra-MR,RDST,1.0
InsectEPGSmallTrain,PF,RDST,0.9651941097724231
InsectWingbeatSound,Hydra-MR,RDST,0.6599663299663302
ItalyPowerDemand,RSTSF,FreshPRINCE,0.9607709750566894
KeplerLightCurves,FreshPRINCE,RDST,0.928404344193818
LargeKitchenAppliances,InceptionT,RDST,0.9184888888888888
Lightning2,PF,RDST,0.7612021857923496
Lightning7,InceptionT,RDST,0.7356164383561643
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,RDST,0.9816666666666668
MedicalImages,RSTSF,Hydra-MR,0.8097807017543861
MelbournePedestrianNmv,RSTSF,InceptionT,0.9677015955153084
MiddlePhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.6569264069264069
MiddlePhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8504009163802981
MiddlePhalanxTW,RSTSF,Hydra-MR,0.5471861471861471
MixedShapesRegularTrain,Hydra-MR,RDST,0.9794364261168386
MixedShapesSmallTrain,Hydra-MR,RDST,0.9564123711340206
MoteStrain,WEASEL-D,Hydra-MR,0.9039669861554844
NonInvasiveFetalECGThorax1,Hydra-MR,RDST,0.9272603901611536
NonInvasiveFetalECGThorax2,Hydra-MR,RDST,0.9423240033927058
OSULeaf,WEASEL-D,RDST,0.9707988980716254
OliveOil,WEASEL-D,RDST,0.9
PLAIDEq,Hydra-MR,RDST,0.9177529484792054
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,RDST,0.6686813186813186
Phoneme,HC2,RDST,0.3410864978902954
PickupGestureWiimoteZEq,Hydra-MR,RDST,0.8220000000000002
PigAirwayPressure,HC2,RDST,0.7809294871794875
PigArtPressure,HC2,RDST,0.932371794871795
PigCVP,WEASEL-D,RDST,0.9072115384615388
Plane,Hydra-MR,WEASEL-D,1.0
PowerCons,RSTSF,RDST,0.980185185185185
ProximalPhalanxOutlineAgeGroup,WEASEL-D,RDST,0.8455284552845529
ProximalPhalanxOutlineCorrect,Hydra-MR,RDST,0.8793814432989694
ProximalPhalanxTW,FreshPRINCE,RDST,0.7970731707317075
RefrigerationDevices,HC2,RDST,0.7502222222222221
Rock,HC2,RDST,0.8719999999999999
ScreenType,HC2,FreshPRINCE,0.6724444444444444
SemgHandGenderCh2,HC2,RDST,0.9206666666666669
SemgHandMovementCh2,HC2,RDST,0.6952592592592595
SemgHandSubjectCh2,HC2,RDST,0.8867407407407407
ShakeGestureWiimoteZEq,HC2,RDST,0.9373333333333336
ShapeletSim,Hydra-MR,RDST,0.9970370370370368
ShapesAll,Hydra-MR,RDST,0.9396666666666664
SharePriceIncrease,FreshPRINCE,RSTSF,0.6929606625258796
SmallKitchenAppliances,HC2,Hydra-MR,0.8327111111111108
SmoothSubspace,PF,RSTSF,0.983111111111111
SonyAIBORobotSurface1,InceptionT,RSTSF,0.90432612312812
SonyAIBORobotSurface2,WEASEL-D,RSTSF,0.9249387897866388
StarLightCurves,HC2,RDST,0.9810344827586206
Strawberry,Hydra-MR,RDST,0.9792792792792792
SwedishLeaf,Hydra-MR,RDST,0.9634666666666668
Symbols,HC2,Hydra-MR,0.9717922948073704
SyntheticControl,PF,RSTSF,0.9896666666666666
ToeSegmentation1,HC2,Hydra-MR,0.9314327485380116
ToeSegmentation2,InceptionT,RDST,0.9469230769230764
Tools,HC2,RDST,0.8626865671641791
Trace,Hydra-MR,RDST,1.0
TwoLeadECG,HC2,HC2,0.9988879133743044
TwoPatterns,Hydra-MR,RDST,0.9999833333333332
UMD,HC2,RDST,0.9747685185185184
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,RDST,0.8579936720640238
UWaveGestureLibraryY,Hydra-MR,RDST,0.773748371487065
UWaveGestureLibraryZ,Hydra-MR,RDST,0.7966964451889075
Wafer,HC2,Hydra-MR,0.9997133895738698
Wine,WEASEL-D,RDST,0.947530864197531
WordSynonyms,Hydra-MR,HC2,0.7642110762800416
Worms,InceptionT,RDST,0.7225108225108223
WormsTwoClass,HC2,RDST,0.7783549783549784
Yoga,Hydra-MR,RDST,0.9295444444444442
