dataset,best_estimator,predicted_estimator,acc
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,Hydra-MR,0.8977777777777777
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,InceptionT,0.3344409282700422
PickupGestureWiimoteZEq,Hydra-MR,InceptionT,0.7646666666666668
PigAirwayPressure,HC2,Hydra-MR,0.7275641025641026
PigArtPressure,HC2,Hydra-MR,0.926923076923077
PigCVP,WEASEL-D,HC2,0.9371794871794872
Plane,Hydra-MR,Hydra-MR,1.0
PowerCons,RSTSF,HC2,0.9716666666666666
ProximalPhalanxOutlineAgeGroup,WEASEL-D,FreshPRINCE,0.8411382113821139
ProximalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8965635738831618
ProximalPhalanxTW,FreshPRINCE,WEASEL-D,0.8019512195121952
RefrigerationDevices,HC2,Hydra-MR,0.7485333333333334
Rock,HC2,Hydra-MR,0.874
ScreenType,HC2,Hydra-MR,0.6810666666666667
SemgHandGenderCh2,HC2,InceptionT,0.8846666666666667
SemgHandMovementCh2,HC2,HC2,0.8968888888888888
SemgHandSubjectCh2,HC2,HC2,0.9527407407407408
ShakeGestureWiimoteZEq,HC2,InceptionT,0.8540000000000003
ShapeletSim,Hydra-MR,InceptionT,0.9235185185185184
ShapesAll,Hydra-MR,Hydra-MR,0.9454444444444444
SharePriceIncrease,FreshPRINCE,InceptionT,0.6521394064872327
SmallKitchenAppliances,HC2,Hydra-MR,0.8327111111111108
SmoothSubspace,PF,HC2,0.9813333333333336
SonyAIBORobotSurface1,InceptionT,FreshPRINCE,0.941819190238491
SonyAIBORobotSurface2,WEASEL-D,InceptionT,0.9512766701643932
StarLightCurves,HC2,Hydra-MR,0.9813177918083212
Strawberry,Hydra-MR,WEASEL-D,0.9781981981981982
SwedishLeaf,Hydra-MR,HC2,0.9626133333333337
Symbols,HC2,InceptionT,0.9695812395309878
SyntheticControl,PF,InceptionT,0.9957777777777774
ToeSegmentation1,HC2,InceptionT,0.953070175438596
ToeSegmentation2,InceptionT,HC2,0.9594871794871792
Tools,HC2,FreshPRINCE,0.8699004975124379
Trace,Hydra-MR,HC2,1.0
TwoLeadECG,HC2,Hydra-MR,0.996780801872988
TwoPatterns,Hydra-MR,HC2,1.0
UMD,HC2,HC2,0.9877314814814818
UWaveGestureLibraryAll,Hydra-MR,Hydra-MR,0.9834822259445376
UWaveGestureLibraryX,Hydra-MR,Hydra-MR,0.8777405546249769
UWaveGestureLibraryY,Hydra-MR,HC2,0.7891587567466964
UWaveGestureLibraryZ,Hydra-MR,Hydra-MR,0.822184999069421
Wafer,HC2,HC2,1.0
Wine,WEASEL-D,Hydra-MR,0.9364197530864196
WordSynonyms,Hydra-MR,HC2,0.7642110762800416
Worms,InceptionT,HC2,0.76017316017316
WormsTwoClass,HC2,InceptionT,0.8025974025974024
Yoga,Hydra-MR,Hydra-MR,0.9356
